2025-04-14 16:38:27 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:38:27 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:38:27 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:38:27 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:38:27 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:38:27 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:38:27 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:38:27 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:38:27 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:39:17 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:39:17 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:39:17 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:39:17 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:39:17 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:39:17 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:39:17 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:39:17 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:39:17 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:39:50 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:39:50 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:39:50 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:39:50 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:39:50 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:39:50 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:39:50 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:39:50 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:39:50 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:41:15 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:41:15 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:41:15 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:41:15 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:41:15 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
